,DATE,TEC
164,2020-10-12 17:00:00,113
165,2020-10-12 17:15:00,110
166,2020-10-12 17:30:00,127
167,2020-10-12 17:45:00,142
168,2020-10-12 18:00:00,149
169,2020-10-12 18:15:00,154
170,2020-10-12 18:30:00,154
171,2020-10-12 18:45:00,153
172,2020-10-12 19:00:00,154
173,2020-10-12 19:15:00,149
174,2020-10-12 19:30:00,142
175,2020-10-12 19:45:00,130
176,2020-10-12 20:00:00,123
177,2020-10-12 20:15:00,119
178,2020-10-12 20:30:00,122
179,2020-10-12 20:45:00,117
180,2020-10-12 21:00:00,125
181,2020-10-12 21:15:00,132
182,2020-10-12 21:30:00,132
183,2020-10-12 21:45:00,139
184,2020-10-12 22:00:00,132
185,2020-10-12 22:15:00,126
186,2020-10-12 22:30:00,109
187,2020-10-12 22:45:00,123
188,2020-10-12 23:00:00,120
189,2020-10-12 23:15:00,111
190,2020-10-12 23:30:00,123
191,2020-10-12 23:45:00,138
192,2020-10-15 00:00:00,145
193,2020-10-15 00:15:00,156
194,2020-10-15 00:30:00,166
195,2020-10-15 00:45:00,174
196,2020-10-15 01:00:00,182
197,2020-10-15 01:15:00,189
198,2020-10-15 01:30:00,195
199,2020-10-15 01:45:00,200
200,2020-10-15 02:00:00,205
201,2020-10-15 02:15:00,115
202,2020-10-15 02:30:00,118
203,2020-10-15 02:45:00,128
204,2020-10-15 03:00:00,103
205,2020-10-15 03:15:00,84
206,2020-10-15 03:30:00,104
207,2020-10-15 03:45:00,119
208,2020-10-15 04:00:00,99
209,2020-10-15 04:15:00,88
210,2020-10-15 04:30:00,104
211,2020-10-15 04:45:00,103
212,2020-10-15 05:00:00,97
213,2020-10-15 05:15:00,100
214,2020-10-15 05:30:00,63
215,2020-10-15 05:45:00,82
216,2020-10-15 06:00:00,88
217,2020-10-15 06:15:00,98
218,2020-10-15 06:30:00,90
219,2020-10-15 06:45:00,99
220,2020-10-15 07:00:00,103
221,2020-10-15 07:15:00,125
222,2020-10-15 07:30:00,128
223,2020-10-15 07:45:00,128
224,2020-10-15 08:00:00,103
225,2020-10-15 08:15:00,72
226,2020-10-15 08:30:00,69
227,2020-10-15 08:45:00,85
228,2020-10-15 09:00:00,87
229,2020-10-15 09:15:00,88
230,2020-10-15 09:30:00,87
231,2020-10-15 09:45:00,89
232,2020-10-15 10:00:00,97
233,2020-10-15 10:15:00,109
234,2020-10-15 10:30:00,113
235,2020-10-15 10:45:00,117
236,2020-10-15 11:00:00,120
237,2020-10-15 11:15:00,86
238,2020-10-15 11:30:00,52
239,2020-10-15 11:45:00,74
240,2020-10-15 12:00:00,79
241,2020-10-15 12:15:00,92
242,2020-10-15 12:30:00,96
243,2020-10-15 12:45:00,111
244,2020-10-15 13:00:00,119
245,2020-10-15 13:15:00,118
246,2020-10-15 13:30:00,89
247,2020-10-15 13:45:00,86
248,2020-10-15 14:00:00,100
249,2020-10-15 14:15:00,121
250,2020-10-15 14:30:00,104
251,2020-10-15 14:45:00,107
252,2020-10-15 15:00:00,102
253,2020-10-15 15:15:00,88
254,2020-10-15 15:30:00,116
255,2020-10-15 15:45:00,124
256,2020-10-15 16:00:00,113
257,2020-10-15 16:15:00,116
258,2020-10-15 16:30:00,120
259,2020-10-15 16:45:00,121
260,2020-10-15 17:00:00,108
261,2020-10-15 17:15:00,135
262,2020-10-15 17:30:00,153
263,2020-10-15 17:45:00,147
264,2020-10-15 18:00:00,154
265,2020-10-15 18:15:00,163
266,2020-10-15 18:30:00,161
267,2020-10-15 18:45:00,154
268,2020-10-15 19:00:00,150
269,2020-10-15 19:15:00,146
270,2020-10-15 19:30:00,131
271,2020-10-15 19:45:00,121
272,2020-10-15 20:00:00,113
273,2020-10-15 20:15:00,125
274,2020-10-15 20:30:00,108
275,2020-10-15 20:45:00,127
276,2020-10-15 21:00:00,119
277,2020-10-15 21:15:00,131
278,2020-10-15 21:30:00,137
279,2020-10-15 21:45:00,136
280,2020-10-15 22:00:00,144
281,2020-10-15 22:15:00,131
282,2020-10-15 22:30:00,113
283,2020-10-15 22:45:00,123
284,2020-10-15 23:00:00,121
285,2020-10-15 23:15:00,115
286,2020-10-15 23:30:00,113
287,2020-10-15 23:45:00,129
288,2020-10-16 00:00:00,152
289,2020-10-16 00:15:00,154
290,2020-10-16 00:30:00,157
291,2020-10-16 00:45:00,150
292,2020-10-16 01:00:00,114
293,2020-10-16 01:15:00,109
294,2020-10-16 01:30:00,92
295,2020-10-16 01:45:00,79
296,2020-10-16 02:00:00,81
297,2020-10-16 02:15:00,84
298,2020-10-16 02:30:00,96
299,2020-10-16 02:45:00,114
300,2020-10-16 03:00:00,131
301,2020-10-16 03:15:00,142
302,2020-10-16 03:30:00,160
303,2020-10-16 03:45:00,157
304,2020-10-16 04:00:00,115
305,2020-10-16 04:15:00,98
306,2020-10-16 04:30:00,118
307,2020-10-16 04:45:00,106
308,2020-10-16 05:00:00,108
309,2020-10-16 05:15:00,103
310,2020-10-16 05:30:00,109
311,2020-10-16 05:45:00,82
312,2020-10-16 06:00:00,103
313,2020-10-16 06:15:00,110
314,2020-10-16 06:30:00,98
315,2020-10-16 06:45:00,98
316,2020-10-16 07:00:00,119
317,2020-10-16 07:15:00,136
318,2020-10-16 07:30:00,128
319,2020-10-16 07:45:00,130
320,2020-10-16 08:00:00,120
321,2020-10-16 08:15:00,79
322,2020-10-16 08:30:00,87
323,2020-10-16 08:45:00,110
324,2020-10-16 09:00:00,90
325,2020-10-16 09:15:00,97
326,2020-10-16 09:30:00,95
327,2020-10-16 09:45:00,93
328,2020-10-16 10:00:00,111
329,2020-10-16 10:15:00,118
330,2020-10-16 10:30:00,123
331,2020-10-16 10:45:00,127
332,2020-10-16 11:00:00,129
333,2020-10-16 11:15:00,94
334,2020-10-16 11:30:00,69
335,2020-10-16 11:45:00,87
336,2020-10-16 12:00:00,88
337,2020-10-16 12:15:00,89
338,2020-10-16 12:30:00,97
339,2020-10-16 12:45:00,108
340,2020-10-16 13:00:00,114
341,2020-10-16 13:15:00,87
342,2020-10-16 13:30:00,79
343,2020-10-16 13:45:00,88
344,2020-10-16 14:00:00,94
345,2020-10-16 14:15:00,115
346,2020-10-16 14:30:00,111
347,2020-10-16 14:45:00,99
348,2020-10-16 15:00:00,98
349,2020-10-16 15:15:00,106
350,2020-10-16 15:30:00,123
351,2020-10-16 15:45:00,103
352,2020-10-16 16:00:00,112
353,2020-10-16 16:15:00,116
354,2020-10-16 16:30:00,121
355,2020-10-16 16:45:00,114
356,2020-10-16 17:00:00,111
357,2020-10-16 17:15:00,128
358,2020-10-16 17:30:00,131
359,2020-10-16 17:45:00,148
360,2020-10-16 18:00:00,151
361,2020-10-16 18:15:00,153
362,2020-10-16 18:30:00,158
363,2020-10-16 18:45:00,155
364,2020-10-16 19:00:00,149
365,2020-10-16 19:15:00,148
366,2020-10-16 19:30:00,131
367,2020-10-16 19:45:00,119
368,2020-10-16 20:00:00,107
369,2020-10-16 20:15:00,127
370,2020-10-16 20:30:00,111
371,2020-10-16 20:45:00,121
372,2020-10-16 21:00:00,124
373,2020-10-16 21:15:00,128
374,2020-10-16 21:30:00,133
375,2020-10-16 21:45:00,136
376,2020-10-16 22:00:00,127
377,2020-10-16 22:15:00,131
378,2020-10-16 22:30:00,140
379,2020-10-16 22:45:00,143
380,2020-10-16 23:00:00,140
381,2020-10-16 23:15:00,139
382,2020-10-16 23:30:00,137
383,2020-10-16 23:45:00,136
384,2020-10-17 00:00:00,152
